method	dataset	model	setting	epochs	rounds	seed
flora	rte_stratified	roberta-base	homo	1	80	0
flora	rte_stratified	roberta-base	homo	2	40	0
flora	rte_stratified	roberta-base	homo	4	20	0
flora	rte_stratified	roberta-base	heter	1	80	0
flora	rte_stratified	roberta-base	heter	2	40	0
flora	rte_stratified	roberta-base	heter	4	20	0
nonlinear_flora	rte_stratified	roberta-base	homo	1	80	0
nonlinear_flora	rte_stratified	roberta-base	homo	2	40	0
nonlinear_flora	rte_stratified	roberta-base	homo	4	20	0
nonlinear_flora	rte_stratified	roberta-base	heter	1	80	0
nonlinear_flora	rte_stratified	roberta-base	heter	2	40	0
nonlinear_flora	rte_stratified	roberta-base	heter	4	20	0
ffa	rte_stratified	roberta-base	homo	1	80	0
ffa	rte_stratified	roberta-base	homo	2	40	0
ffa	rte_stratified	roberta-base	homo	4	20	0
ffa	rte_stratified	roberta-base	heter	1	80	0
ffa	rte_stratified	roberta-base	heter	2	40	0
ffa	rte_stratified	roberta-base	heter	4	20	0
